,Year,Sex,Age,Total,Now married (except separated),Widowed,Divorced,Separated,Never married
0,2010,M,15+,11352610,0.7,0.0,0.0,0.1,99.2
1,2010,M,20+,31638358,29.4,0.1,3.5,1.4,65.6
2,2010,M,35+,20494598,61.7,0.4,11.7,2.9,23.3
3,2010,M,45+,22100095,64.4,1.0,16.0,2.8,15.8
4,2010,M,55+,17723303,70.0,2.5,16.2,2.2,9.2
5,2010,M,65+,17433645,70.9,13.1,9.9,1.3,4.7
6,2010,F,15+,10751573,1.5,0.0,0.1,0.1,98.3
7,2010,F,20+,30996555,36.7,0.2,5.0,2.5,55.6
8,2010,F,35+,20697730,62.5,1.0,14.2,4.3,18.0
9,2010,F,45+,22828938,62.3,3.1,18.9,3.7,12.1
10,2010,F,55+,19038661,61.2,8.4,19.8,2.6,8.0
11,2010,F,65+,22999880,41.6,40.4,12.3,1.0,4.7
12,2011,M,15+,11220968,0.7,0.0,0.1,0.1,99.2
13,2011,M,20+,32206358,28.6,0.1,3.3,1.4,66.6
14,2011,M,35+,20308235,61.2,0.4,11.6,2.9,23.8
15,2011,M,45+,21990093,63.6,1.1,16.1,2.9,16.4
16,2011,M,55+,18346272,69.1,2.5,16.4,2.2,9.9
17,2011,M,65+,17916246,71.0,12.9,10.2,1.4,4.6
18,2011,F,15+,10601506,1.4,0.0,0.1,0.1,98.5
19,2011,F,20+,31432625,35.4,0.3,4.9,2.5,57.0
20,2011,F,35+,20519475,61.7,1.0,14.4,4.3,18.6
21,2011,F,45+,22663294,61.9,3.0,18.8,3.8,12.4
22,2011,F,55+,19718929,60.9,8.3,20.0,2.6,8.3
23,2011,F,65+,23468780,42.0,39.6,12.6,1.1,4.7
24,2012,M,15+,11046052,0.7,0.0,0.0,0.1,99.2
25,2012,M,20+,32710723,27.8,0.1,3.4,1.3,67.4
26,2012,M,35+,20268103,61.0,0.4,11.6,2.8,24.2
27,2012,M,45+,21762309,63.5,1.0,16.3,2.9,16.3
28,2012,M,55+,18582087,68.3,2.5,16.6,2.2,10.3
29,2012,M,65+,18805263,70.7,12.4,10.8,1.3,4.9
30,2012,F,15+,10504417,1.3,0.0,0.1,0.1,98.5
31,2012,F,20+,31853305,34.7,0.2,4.8,2.3,58.0
32,2012,F,35+,20429983,61.7,1.0,14.3,4.3,18.7
33,2012,F,45+,22442643,61.6,3.0,19.1,3.9,12.4
34,2012,F,55+,20005050,60.5,8.1,20.1,2.7,8.6
35,2012,F,65+,24335214,42.4,38.2,13.3,1.1,4.9
36,2013,M,15+,10959311,0.8,0.0,0.1,0.1,99.0
37,2013,M,20+,33160804,27.2,0.1,3.1,1.2,68.4
38,2013,M,35+,20214767,60.7,0.4,11.3,2.7,24.9
39,2013,M,45+,21520450,63.5,1.1,16.1,2.8,16.6
40,2013,M,55+,18950470,67.8,2.5,16.5,2.4,10.8
41,2013,M,65+,19574217,70.5,12.2,10.8,1.3,5.1
42,2013,F,15+,10427332,1.4,0.0,0.1,0.1,98.4
43,2013,F,20+,32185659,34.0,0.2,4.6,2.2,58.9
44,2013,F,35+,20393468,61.3,1.0,14.1,4.2,19.4
45,2013,F,45+,22154533,61.6,2.9,18.8,3.8,13.0
46,2013,F,55+,20386382,60.5,7.9,19.8,2.7,9.0
47,2013,F,65+,25089773,42.9,37.1,13.8,1.2,5.0
48,2014,M,15+,10940814,0.8,0.0,0.0,0.1,99.0
49,2014,M,20+,33458456,26.8,0.1,3.0,1.1,68.9
50,2014,M,35+,20274781,60.6,0.3,11.2,2.7,25.2
51,2014,M,45+,21359250,63.3,1.1,15.9,2.8,17.0
52,2014,M,55+,19319150,67.4,2.5,16.6,2.3,11.3
53,2014,M,65+,20312472,70.3,11.9,11.2,1.4,5.2
54,2014,F,15+,10406203,1.2,0.0,0.1,0.1,98.5
55,2014,F,20+,32562672,33.7,0.2,4.4,2.0,59.7
56,2014,F,35+,20476578,61.0,1.0,13.8,4.1,20.1
57,2014,F,45+,21994027,61.5,2.8,18.9,3.7,13.1
58,2014,F,55+,20763846,60.5,7.7,19.8,2.7,9.3
59,2014,F,65+,25902421,43.2,36.2,14.4,1.1,5.1
60,2015,M,15+,10966719,0.8,0.0,0.0,0.1,99.0
61,2015,M,20+,33699954,26.5,0.1,3.0,1.1,69.4
62,2015,M,35+,20308787,60.0,0.4,10.8,2.6,26.1
63,2015,M,45+,21272990,63.3,1.1,15.7,2.7,17.2
64,2015,M,55+,19710301,66.4,2.6,16.9,2.3,11.8
65,2015,M,65+,21054655,70.0,11.5,11.7,1.4,5.4
66,2015,F,15+,10460193,1.2,0.0,0.0,0.1,98.6
67,2015,F,20+,32738955,33.4,0.3,4.2,1.9,60.3
68,2015,F,35+,20495343,60.9,1.0,13.5,3.9,20.7
69,2015,F,45+,21862590,61.5,2.8,18.8,3.7,13.2
70,2015,F,55+,21166840,60.0,7.6,20.0,2.7,9.6
71,2015,F,65+,26677825,43.5,35.2,14.8,1.2,5.3
72,2016,M,15+,10991723,0.9,0.0,0.0,0.1,99.0
73,2016,M,20+,33804063,26.1,0.1,2.8,1.0,70.0
74,2016,M,35+,20215641,60.0,0.4,10.6,2.6,26.5
75,2016,M,45+,21101370,63.4,1.1,15.7,2.7,17.2
76,2016,M,55+,19990313,66.0,2.6,16.9,2.2,12.2
77,2016,M,65+,21760438,69.5,11.6,11.9,1.4,5.6
78,2016,F,15+,10500178,1.3,0.0,0.1,0.1,98.5
79,2016,F,20+,32758858,33.1,0.2,4.0,1.8,60.8
80,2016,F,35+,20439951,61.1,0.9,13.0,3.8,21.2
81,2016,F,45+,21654220,61.6,2.8,18.6,3.6,13.5
82,2016,F,55+,21468572,60.1,7.4,20.0,2.7,9.8
83,2016,F,65+,27454727,43.9,34.2,15.1,1.2,5.6
84,2017,M,15+,11003862,0.9,0.0,0.0,0.1,99.0
85,2017,M,20+,34024468,26.1,0.1,2.7,0.9,70.1
86,2017,M,35+,20471735,60.1,0.4,10.1,2.4,27.0
87,2017,M,45+,20890889,63.8,1.0,15.4,2.6,17.2
88,2017,M,55+,20274405,66.0,2.6,16.9,2.3,12.2
89,2017,M,65+,22520449,69.7,11.1,12.1,1.3,5.8
90,2017,F,15+,10493304,1.3,0.0,0.1,0.1,98.5
91,2017,F,20+,32891322,33.2,0.2,3.8,1.7,61.0
92,2017,F,35+,20646170,61.6,0.9,12.5,3.6,21.3
93,2017,F,45+,21440066,61.9,2.6,18.5,3.5,13.5
94,2017,F,55+,21745371,60.3,7.4,19.8,2.7,9.9
95,2017,F,65+,28295263,44.7,33.1,15.4,1.2,5.6
96,2018,M,15+,10972722,0.9,0.0,0.0,0.1,99.0
97,2018,M,20+,34102628,26.1,0.1,2.5,0.9,70.4
98,2018,M,35+,20691045,59.8,0.4,9.8,2.3,27.7
99,2018,M,45+,20520290,64.1,1.0,15.3,2.5,17.1
100,2018,M,55+,20395960,65.7,2.5,16.9,2.2,12.6
101,2018,M,65+,23290898,69.3,11.1,12.3,1.3,5.9
102,2018,F,15+,10472771,1.2,0.0,0.0,0.1,98.6
103,2018,F,20+,32960008,32.9,0.2,3.6,1.7,61.6
104,2018,F,35+,20807408,61.3,0.9,12.4,3.5,22.0
105,2018,F,45+,21084954,62.3,2.6,18.1,3.5,13.4
106,2018,F,55+,21891402,60.0,7.3,20.0,2.7,10.0
107,2018,F,65+,29132216,45.0,32.3,15.7,1.2,5.7
108,2019,M,15+,10903653,0.9,0.0,0.0,0.1,99.0
109,2019,M,20+,34113759,25.7,0.1,2.5,0.9,70.8
110,2019,M,35+,20920715,59.5,0.4,9.8,2.2,28.2
111,2019,M,45+,20155362,64.1,1.0,15.2,2.5,17.2
112,2019,M,55+,20491435,65.3,2.5,17.1,2.1,13.0
113,2019,M,65+,24044281,68.6,11.0,12.8,1.3,6.2
114,2019,F,15+,10449871,1.1,0.0,0.1,0.1,98.7
115,2019,F,20+,32933396,32.8,0.2,3.6,1.6,61.8
116,2019,F,35+,20994130,61.0,0.9,12.2,3.3,22.7
117,2019,F,45+,20707745,62.4,2.5,18.1,3.3,13.7
118,2019,F,55+,21976678,60.2,7.2,19.9,2.5,10.2
119,2019,F,65+,30029747,45.1,31.6,16.2,1.2,6.0
120,2021,M,15+,11171156,1.0,0.0,0.0,0.1,98.9
121,2021,M,20+,33732864,25.4,0.1,2.2,0.8,71.6
122,2021,M,35+,22024008,59.8,0.4,8.8,2.1,28.9
123,2021,M,45+,20286006,65.3,1.0,14.2,2.3,17.2
124,2021,M,55+,20952443,65.9,2.4,16.4,2.1,13.2
125,2021,M,65+,25191742,68.7,10.3,12.9,1.3,6.8
126,2021,F,15+,10652932,1.1,0.0,0.0,0.1,98.8
127,2021,F,20+,32728917,32.3,0.2,3.2,1.4,63.0
128,2021,F,35+,21709553,61.4,0.9,11.4,3.0,23.3
129,2021,F,45+,20387711,62.9,2.4,17.7,3.2,13.8
130,2021,F,55+,21862591,60.2,7.0,19.8,2.5,10.6
131,2021,F,65+,30700272,46.2,29.8,16.7,1.2,6.2
132,2022,M,15+,11167522,1.0,0.0,0.0,0.1,98.9
133,2022,M,20+,34518927,25.7,0.1,2.1,0.7,71.3
134,2022,M,35+,22262365,60.0,0.4,8.4,2.0,29.3
135,2022,M,45+,20300592,66.0,0.9,13.7,2.3,17.1
136,2022,M,55+,20655942,65.9,2.5,16.3,2.0,13.2
137,2022,M,65+,25924644,68.5,10.3,13.1,1.3,6.9
138,2022,F,15+,10618136,1.1,0.0,0.0,0.1,98.7
139,2022,F,20+,33160377,32.0,0.2,3.1,1.2,63.5
140,2022,F,35+,21785279,61.4,0.8,11.2,3.0,23.6
141,2022,F,45+,20175854,63.0,2.4,17.2,3.1,14.3
142,2022,F,55+,21471526,60.2,6.8,19.8,2.6,10.6
143,2022,F,65+,31897671,46.1,29.5,16.8,1.2,6.4
144,2023,M,15+,11364472,1.0,0.0,0.0,0.1,98.9
145,2023,M,20+,33976303,25.8,0.1,2.0,0.7,71.4
146,2023,M,35+,22538176,59.6,0.4,8.2,1.9,30.0
147,2023,M,45+,20191043,66.1,0.9,13.4,2.3,17.3
148,2023,M,55+,20472662,66.3,2.5,16.1,2.0,13.1
149,2023,M,65+,26799659,68.2,10.2,13.3,1.3,7.1
150,2023,F,15+,10803918,1.2,0.0,0.0,0.1,98.6
151,2023,F,20+,32953842,32.0,0.2,2.9,1.2,63.7
152,2023,F,35+,22238408,61.1,0.9,10.8,2.9,24.3
153,2023,F,45+,20330128,63.1,2.4,17.1,3.0,14.4
154,2023,F,55+,21401882,60.5,6.7,19.8,2.4,10.6
155,2023,F,65+,32507397,46.5,28.7,17.1,1.2,6.5
